k,mappo_native_campaign_ms_per_decision,bcd_python_ms_per_scenario
2,1.72704296875,267.1239560563117
4,2.8093997395833337,528.4033005964011
6,4.083067708333334,793.5411232616752
8,5.008873697916666,1063.9633899834007
10,6.157046875,1347.0022235438228
12,8.068136718749999,1607.2720397729427
