k,MAPPO-H,MAPPO-M,CPPO,DQN,MADDPG,BCD,Random
2,0.007834821428571427,0.05012276785714286,0.08070870535714283,0.26901785714285714,0.08287388392857142,0.5197433035714286,0.30441964285714285
4,0.026713169642857134,0.054698660714285724,0.2383872767857143,0.21829520089285714,0.08955078124999999,0.3970061383928574,0.2989006696428571
6,0.11384114583333335,0.01791666666666667,0.6924627976190473,0.2319642857142858,0.9578162202380952,0.3493526785714286,0.30384858630952394
8,0.031939174107142844,0.008932756696428568,0.4800976562500001,0.21908900669642858,0.5426199776785716,0.3029757254464285,0.30260602678571424
10,0.023147321428571427,0.015534598214285706,0.41997656250000004,0.2145223214285715,0.3596272321428572,0.2715468750000001,0.30463839285714284
12,0.06374162946428569,0.020405505952380956,0.29096633184523807,0.21744140625000008,0.2142485119047619,0.24941778273809526,0.3007021949404763
